record_id,pub_year,pub_author,pub_title,pub_journal,pub_apa,pub_doi,cognitive_test_1,cognitive_test_2,cognitive_test_3
39,2003,"Iverson, Grant L.; Lovell, Mark R.; Collins, Michael W.",Interpreting change on ImPACT following sport concussion,The Clinical Neuropsychologist,NA,10.1076/clin.17.4.460.27934,ImPACT,NA,NA
46,2004,"Iverson, Grant L.; Gaetz, Michael; Lovell, Mark R.; Collins, Michael W.",Relation between subjective fogginess and neuropsychological testing following concussion,Journal of the International Neuropsychological Society,NA,10.1017/S1355617704106139,ImPACT,NA,NA
47,2004,"Lovell, Mark R.; Collins, Michael W.; Iverson, Grant L.; Johnston, Karen M.; Bradley, James P.","Grade 1 or ""Ding"" Concussions in High School Athletes",American Journal of Sports Medicine,NA,10.1177/0363546503260723,ImPACT,NA,NA
56,2005,"Iverson, Grant L.; Lovell, Mark R.; Collins, Michael W.",Validity of ImPACT for measuring processing speed following sports-related concussion,Journal of Clinical and Experimental Neuropsychology,NA,10.1081/13803390490918435,ImPACT,NA,NA
60,2006,"Broglio, S. P.; Ferrara, M. S.; Piland, S. G.; Anderson, R. B.",Concussion history is not a predictor of computerised neurocognitive performance,British Journal of Sports Medicine,NA,10.1136/bjsm.2006.028019,ImPACT,NA,NA
73,2007,"Broglio, Steven P.; Macciocchi, Stephen N.; Ferrara, Michael S.",Neurocognitive performance of concussed athletes when symptom free,Journal of Athletic Training,NA,10.1080/13854046.2010.528452,ImPACT,NA,NA
74,2007,"Broglio, Steven P; Macciocchi, Stephen N; Ferrara, Michael S",Sensitivity of the concussion assessment battery,Neurosurgery,NA,10.1227/01.neu.0000255479.90999.c0,ImPACT,NA,NA
77,2007,"Covassin, Tracey; Schatz, Philip; Swanik, C Buz",Sex differences in neuropsychological function and post-concussion symptoms of concussed collegiate athletes,Neurosurgery,NA,10.1227/01.neu.0000279972.95060.cb,ImPACT,NA,NA
78,2007,"Covassin, Tracey; Weiss, Leigh; Powell, John; Womack, Christopher",Effects of a maximal exercise test on neurocognitive function,British Journal of Sports Medicine,NA,10.1136/bjsm.2006.032334,ImPACT,NA,NA
85,2008,"Covassin, Tracey; Stearne, David; Elbin, Robert",Concussion history and postconcussion neurocognitive performance and symptoms in collegiate athletes,Journal of Athletic Training,NA,10.4085/1062-6050-43.2.119,ImPACT,NA,NA
93,2009,"Broglio, Steven P.; Pontifex, Mathew B.; O’Connor, Philip; Hillman, Charles H.",The persistent effects of concussion on neuroelectric indices of attention,Journal of Neurotrauma,NA,10.1089/neu.2008.0766,ImPACT,NA,NA
94,2009,"Broglio, Steven P.; Sosnoff, Jacob J.; Ferrara, Michael S.",The relationship of athlete-reported concussion symptoms and objective measures of neurocognitive function and postural control,Clinical Journal of Sport Medicine,NA,10.1097/JSM.0b013e3181b625fe,ImPACT,NA,NA
95,2009,"Bruce, Jared M; Echemendia, Ruben J",History of multiple self-reported concussions is not associated with reduced cognitive abilities,Neurosurgery,"Bruce & Echemendia, 2009",10.1227/01.NEU.0000336310.47513.C8,ImPACT,NA,NA
101,2009,"Lau, Brian; Lovell, Mark R; Collins, Michael W; Pardini, Jamie",Neurocognitive and symptom predictors of recovery in high school athletes,Clinical Journal Of Sport Medicine: Official Journal Of The Canadian Academy Of Sport Medicine,NA,10.1097/JSM.0b013e31819d6edb,ImPACT,NA,NA
104,2010,"Covassin, Tracey; Elbin, R J; Nakayama, Yusuke",Tracking neurocognitive performance following concussion in high school athletes,The Physician And Sportsmedicine,NA,10.3810/psm.2010.12.1830,ImPACT,NA,NA
105,2010,"Covassin, Tracey; Elbin, Robert; Kontos, Anthony; Larson, Elizabeth",Investigating baseline neurocognitive performance between male and female athletes with a history of multiple concussion,"Journal Of Neurology, Neurosurgery, And Psychiatry",NA,10.1136/jnnp.2009.193797,ImPACT,NA,NA
111,2010,"Gardner, Andrew; Shores, E. Arthur; Batchelor, Jennifer",Reduced processing speed in rugby union players reporting three or more previous concussions,Archives of Clinical Neuropsychology,NA,10.1093/arclin/acq007,ImPACT,NA,NA
113,2010,"Kontos, Anthony P.; Elbin, Robert J.; Covassin, Tracey; Larson, Elizabeth",Exploring differences in computerized neurocognitive concussion testing between African American and White athletes,Archives of Clinical Neuropsychology,"Kontos, Elbin, Covassin, & Larson, 2010",10.1093/arclin/acq068,ImPACT,NA,NA
116,2011,"Allen, Brittany J.; Gfeller, Jeffrey D.",The Immediate Post-Concussion Assessment and Cognitive Testing battery and traditional neuropsychological measures: A construct and concurrent validity study,Brain Injury,"Allen & Gfeller, 2011",10.3109/02699052.2010.541897,ImPACT,NA,NA
118,2011,"Broglio, Steven P.; Eckner, James T.; Surma, Tyler; Kutcher, Jeffrey S.",Post-concussion cognitive declines and symptomatology are not related to concussion biomechanics in high school football players,Journal of Neurotrauma,NA,10.1089/neu.2011.1905,ImPACT,NA,NA
121,2011,"Elbin, R J; Schatz, Philip; Covassin, Tracey",One-year test-retest reliability of the online version of ImPACT in high school athletes,The American Journal Of Sports Medicine,"Elbin, Schatz, & Covassin, 2011",10.1177/0363546511417173,ImPACT,NA,NA
128,2011,"Kontos, Anthony P.; Dolese, Angela; Elbin III, R. J.; Covassin, Tracey; Warren, Barbara L.",Relationship of soccer heading to computerized neurocognitive performance and symptoms among female and male youth soccer players,Brain Injury,NA,10.3109/02699052.2011.608209,ImPACT,NA,NA
131,2011,"Lau, Brian C.; Collins, Michael W.; Lovell, Mark R.",Sensitivity and specificity of subacute computerized neurocognitive testing and symptom evaluation in predicting outcomes after sports-related concussion,American Journal of Sports Medicine,NA,10.1177/0363546510392016,ImPACT,NA,NA
140,2012,"Covassin, Tracey; Elbin, R J; Harris, William; Parker, Tonya; Kontos, Anthony","The role of age and sex in symptoms, neurocognitive performance, and postural stability in athletes after concussion",The American Journal Of Sports Medicine,NA,10.1177/0363546512444554,ImPACT,NA,NA
141,2012,"Covassin, Tracey; Elbin, Robert J.; Larson, Elizabeth; Kontos, Anthony P.",Sex and age differences in depression and baseline sport-related concussion neurocognitive performance and symptoms,Clinical Journal of Sport Medicine,NA,10.1097/jsm.0b013e31823403d2,ImPACT,NA,NA
143,2012,"Echemendia, Ruben J.; Bruce, Jared M.; Bailey, Christopher M.; Sanders, James Forrest; Arnett, Peter; Vargas, Gray",The utility of post-concussion neuropsychological data in identifying cognitive change following sports-related MTBI in the absence of baseline data,The Clinical Neuropsychologist,"Echemendia et al., 2012",10.1080/13854046.2012.721006,ImPACT,NA,NA
144,2012,"Echlin, Paul S; Skopelja, Elaine N; Worsley, Rachel; Dadachanji, Shiroy B; Lloyd-Smith, D Rob; Taunton, Jack A; Forwell, Lorie A; Johnson, Andrew M",A prospective study of physician-observed concussion during a varsity university ice hockey season: incidence and neuropsychological changes. Part 2 of 4,Neurosurgical Focus,NA,10.3171/2012.10.FOCUS12286,ImPACT,SCAT2,NA
145,2012,"Elbin, R. J.; Covassin, Tracey; Hakun, Jonathan; Kontos, Anthony P.; Berger, Kevin; Pfeiffer, Karin; Ravizza, Susan",Do brain activation changes persist in athletes with a history of multiple concussions who are asymptomatic?,Brain Injury,NA,10.3109/02699052.2012.672788,ImPACT,NA,NA
146,2012,"Erdal, Kristi",Neuropsychological Testing for Sports-related Concussion: How Athletes Can Sandbag their Baseline Testing Without Detection,Archives of Clinical Neuropsychology,NA,10.1093/arclin/acs050,ImPACT,NA,NA
160,2013,"Covassin, Tracey; Crutcher, Bryan; Wallace, Jessica",Does a 20 minute cognitive task increase concussion symptoms in concussed athletes?,Brain Injury,NA,10.3109/02699052.2013.823656,ImPACT,NA,NA
161,2013,"Covassin, Tracey; Elbin, R J; Bleecker, Alisha; Lipchik, Adam; Kontos, Anthony P",Are there differences in neurocognitive function and symptoms between male and female soccer players after concussions?,The American Journal Of Sports Medicine,NA,10.1177/0363546513509962,ImPACT,NA,NA
162,2013,"Covassin, Tracey; Elbin, R. J.; Crutcher, Bryan; Burkhart, Scott; Kontos, Anthony","The relationship between coping, neurocognitive performance, and concussion symptoms in high school and collegiate athletes",The Sport Psychologist,NA,10.1123/tsp.27.4.372,ImPACT,NA,NA
163,2013,"Covassin, Tracey; Elbin, R. J.; Deitrick, Jamie McAllister; Whalen, Diana J.",Effects of Attention Deficit Hyperactivity Disorder on Neurocognitive Performance and Symptoms in Concussed Athletes,Athletic Training & Sports Health Care: The Journal for the Practicing Clinician,NA,10.3928/19425864-20131030-03,ImPACT,NA,NA
164,2013,"Covassin, Tracey; Moran, Ryan; Wilhelm, Kristyn",Concussion symptoms and neurocognitive performance of high school and college athletes who incur multiple concussions,The American Journal Of Sports Medicine,NA,10.1177/0363546513499230,ImPACT,NA,NA
173,2013,"Kontos, Anthony P.; Elbin, R.j.; Lau, Brian; Simensky, Steven; Freund, Brin; French, Jonathan; Collins, Michael W.",Posttraumatic migraine as a predictor of recovery and cognitive impairment after sport-related concussion,American Journal of Sports Medicine,NA,10.1177/0363546513488751,ImPACT,NA,NA
179,2013,"Lovell, Mark. R.; Solomon, Gary S.",Neurocognitive test performance and symptom reporting in cheerleaders with concussions,The Journal of Pediatrics,NA,10.1016/j.jpeds.2013.05.061,ImPACT,NA,NA
183,2014,"Bazarian, Jeffrey J; Zhu, Tong; Zhong, Jianhui; Janigro, Damir; Rozen, Eric; Roberts, Andrew; Javien, Hannah; Merchant-Borna, Kian; Abar, Beau; Blackman, Eric G","Persistent, long-term cerebral white matter changes after sports-related repetitive head impacts",Plos One,NA,10.1371/journal.pone.0094734,ImPACT,NA,NA
184,2014,"Bruce, Jared; Echemendia, Ruben; Meeuwisse, Willem; Comper, Paul; Sisco, Amber",1 year test–retest reliability of ImPACT in professional ice hockey players,The Clinical Neuropsychologist,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",10.1080/13854046.2013.866272,ImPACT,NA,NA
188,2014,"Davenport, Elizabeth M.; Whitlow, Christopher T.; Urban, Jillian E.; Espeland, Mark A.; Jung, Youngkyoo; Rosenbaum, Daryl A.; Gioia, Gerard A.; Powers, Alexander K.; Stitzel, Joel D.; Maldjian, Joseph A.",Abnormal white matter integrity related to head impact exposure in a season of high school varsity football,Journal of Neurotrauma,NA,10.1089/neu.2013.3233,ImPACT,NA,NA
190,2014,"Fakhran, Saeed; Yaeger, Karl; Collins, Michael; Alhilali, Lea",Sex differences in white matter abnormalities after mild traumatic brain injury: localization and correlation with outcome,Radiology,"Fakhran, Yaeger, Collins, & Alhilali, 2014",10.1148/radiol.14132512,ImPACT,NA,NA
193,2014,"Gutierrez, Gregory M.; Conte, Catherine; Lightbourne, Kristian","The Relationship Between Impact Force, Neck Strength, and Neurocognitive Performance in Soccer Heading in Adolescent Females",Pediatric Exercise Science,NA,10.1123/pes.2013-0102,ImPACT,NA,NA
194,2014,"Honaker, Julie A; Lester, Houston F; Patterson, Jessie N; Jones, Sherri M",Examining postconcussion symptoms of dizziness and imbalance on neurocognitive performance in collegiate football players,"Otology & Neurotology: Official Publication Of The American Otological Society, American Neurotology Society [And] European Academy Of Otology And Neurotology",NA,10.1097/MAO.0000000000000432,ImPACT,NA,NA
197,2014,"Jones, Nathaniel S.; Walter, Kevin D.; Caplinger, Roger; Wright, Daniel; Raasch, William G.; Young, Craig",Effect of education and language on baseline concussion screening tests in professional baseball players,Clinical Journal of Sport Medicine,"Jones et al., 2014",10.1097/jsm.0000000000000031,ImPACT,NA,NA
201,2014,"Kontos, A. P.; Huppert, T. J.; Beluk, N. H.; Elbin, R. J.; Henry, L. C.; French, J.; Dakan, S. M.; Collins, M. W.",Brain activation during neurocognitive testing using functional near-infrared spectroscopy in patients following concussion compared to healthy controls,Brain Imaging and Behavior,NA,10.1007/s11682-014-9289-9,ImPACT,NA,NA
202,2014,"Kuhn, Andrew Warren; Solomon, Gary S.",Supervision and computerized neurocognitive baseline test performance in high school athletes: An initial investigation,Journal of Athletic Training,"Kuhn & Solomon, 2014",10.4085/1062-6050-49.3.66,ImPACT,NA,NA
204,2014,"Mannix, Rebekah; Iverson, Grant L; Maxwell, Bruce; Atkins, Joseph E; Zafonte, Ross; Berkner, Paul D",Multiple prior concussions are associated with symptoms in high school athletes,Annals Of Clinical And Translational Neurology,NA,10.1002/acn3.70,ImPACT,NA,NA
207,2015,"Blake, Margaret Lehman; Ott, Summer; Villanyi, Elizabeth; Kazhuro, Katia; Schatz, Philip",Influence of language of administration on ImPACT performance by bilingual Spanishï¿½English college students,Archives of Clinical Neuropsychology,"Blake, Ott, Villanyi, Kazhuro, & Schatz, 2015",10.1093/arclin/acv021,ImPACT,NA,NA
208,2015,"Bock, Suzanne; Grim, Rod; Barron, Todd F; Wagenheim, Andrew; Hu, Yaowen Eliot; Hendell, Matthew; Deitch, John; Deibert, Ellen",Factors associated with delayed recovery in athletes with concussion treated at a pediatric neurology concussion clinic,Child's Nervous System: Chns: Official Journal Of The International Society For Pediatric Neurosurgery,NA,10.1007/s00381-015-2846-8,ImPACT,NA,NA
210,2016,"Brooks, Brian L; Iverson, Grant L; Atkins, Joseph E; Zafonte, Ross; Berkner, Paul D",Sex Differences and Self-Reported Attention Problems During Baseline Concussion Testing,Applied Neuropsychology. Child,"Brooks, Iverson, Atkins, Zafonte, & Berkner, 2016",10.1080/21622965.2014.1003066,ImPACT,NA,NA
218,2015,"Elbin, R. J.; Beatty, Amanda; Covassin, Tracey; Schatz, Philip; Hydeman, Ana; Kontos, Anthony P.",A Preliminary Examination of Neurocognitive Performance and Symptoms Following a Bout of Soccer Heading in Athletes Wearing Protective Soccer Headbands,Research in Sports Medicine,NA,10.1080/15438627.2015.1005293,ImPACT,NA,NA
220,2015,"Hang, Brian; Babcock, Lynn; Hornung, Richard; Ho, Mona; Pomerantz, Wendy J",Can Computerized Neuropsychological Testing in the Emergency Department Predict Recovery for Young Athletes With Concussions?,Pediatric Emergency Care,NA,10.1097/PEC.0000000000000438,ImPACT,NA,NA
230,2015,"Kontos, Anthony P.; Elbin, R. J.; Kotwal, Russ S.; Lutz, Robert H.; Kane, Shawn; Benson, Peter J.; Forsten, Robert D.; Collins, Michael W.",The effects of combat-related mild traumatic brain injury (mTBI): Does blast mTBI history matter?,Journal of Trauma & Acute Care Surgery,NA,10.1097/TA.0000000000000667,ImPACT,NA,NA
231,2015,"Kontos, Anthony P.; Reches, Amit; Elbin, R. J.; Dickman, Dalia; Laufer, Ilan; Geva, Amir B.; Shacham, Galit; DeWolf, Ryan; Collins, Michael W.",Preliminary evidence of reduced brain network activation in patients with post-traumatic migraine following concussion,Brain Imaging and Behavior,NA,10.1007/s11682-015-9412-6,ImPACT,NA,NA
232,2015,"Kostyun, Regina O.; Milewski, Matthew D.; Hafeez, Imran",Sleep Disturbance and Neurocognitive Function During the Recovery From a Sport-Related Concussion in Adolescents,American Journal of Sports Medicine,NA,10.1177/0363546514560727,ImPACT,NA,NA
238,2016,"Alsalaheen, Bara A.; Whitney, Susan L.; Marchetti, Gregory F.; Furman, Joseph M.; Kontos, Anthony P.; Collins, Michael W.; Sparto, Patrick J.",Relationship Between Cognitive Assessment and Balance Measures in Adolescents Referred for Vestibular Physical Therapy After Concussion,Clinical Journal of Sport Medicine,NA,10.1097/JSM.0000000000000185,ImPACT,NA,NA
240,2016,"Custer, Aimee; Sufrinko, Alicia; Elbin, R J; Covassin, Tracey; Collins, Micky; Kontos, Anthony",High Baseline Postconcussion Symptom Scores and Concussion Outcomes in Athletes,Journal Of Athletic Training,NA,10.4085/1062-6050-51.2.12,ImPACT,NA,NA
241,2016,"Gagnon, I.; Grilli, L.; Friedman, D.; Iverson, G. L.",A pilot study of active rehabilitation for adolescents who are slow to recover from sport-related concussion,Scandinavian Journal of Medicine & Science in Sports,NA,10.1111/sms.12441,ImPACT,NA,NA
242,2016,"Henry, Luke C; Elbin, R J; Collins, Michael W; Marchetti, Gregory; Kontos, Anthony P",Examining Recovery Trajectories After Sport-Related Concussion With a Multimodal Clinical Assessment Approach,Neurosurgery,NA,10.1227/NEU.0000000000001041,ImPACT,NA,NA
279,2006,"McClincy, Michael P.; Lovell, Mark R.; Pardini, Jamie; Collins, Michael W.; Spore, Molly K.",Recovery from sports concussion in high school and collegiate athletes,Brain Injury,NA,10.1080/02699050500309817,ImPACT,NA,NA
281,2006,"Schatz, Philip; Pardini, Jamie E.; Lovell, Mark R.; Collins, Michael W.; Podell, Kenneth",Sensitivity and specificity of the ImPACT test battery for concussion in athletes,Archives of Clinical Neuropsychology,NA,10.1016/j.acn.2005.08.001,ImPACT,NA,NA
287,2006,"Van Kampen, Derk A.; Lovell, Mark R.; Pardini, Jamie E.; Collins, Michael W.; Fu, Freddie H.","The ""value added"" of neurocognitive testing after sports-related concussion",American Journal of Sports Medicine,NA,10.1177/0363546506288677,ImPACT,NA,NA
290,2007,"Miller, Jennifer R.; Adamson, Gregory J.; Pink, Marilyn M.; Sweet, John C.","Comparison of preseason, midseason, and postseason neurocognitive scores in uninjured collegiate football players",The American Journal Of Sports Medicine,NA,10.1177/0363546507300261,ImPACT,SAC,NA
291,2007,"Parker, Tonya M.; Osternig, Louis R.; van Donkelaar, Paul; Li-Shan Chou",Recovery of cognitive and dynamic motor function following concussion,British Journal of Sports Medicine,NA,10.1136/bjsm.2006.033761,ImPACT,NA,NA
302,2008,"Shores, E. A.; Lammél, A.; Hullick, C.; Sheedy, J.; Flynn, M.; Levick, W.; Batchelor, J.",The diagnostic accuracy of the Revised Westmead PTA Scale as an adjunct to the Glasgow Coma Scale in the early identification of cognitive impairment in patients with mild traumatic brain injury,"Journal of Neurology, Neurosurgery & Psychiatry",NA,10.1136/jnnp.2007.132571,ImPACT,NA,NA
304,2008,"Shuttleworth-Edwards, Ann B.; Smith, Ian; Radloff, Sarah E.",Neurocognitive vulnerability amongst university rugby players versus noncontact sport controls,Journal of Clinical and Experimental Neuropsychology,"Shuttleworth-Edwards, Smith, & Radloff, 2008",10.1080/13803390701846914,ImPACT,NA,NA
305,2008,"Sosnoff, Jacob J.; Broglio, Steven P.; Ferrara, Michael S.",Cognitive and motor function are associated following mild traumatic brain injury,Experimental Brain Research,NA,10.1007/s00221-008-1324-x,ImPACT,NA,NA
306,2008,"Stojsih, S; Boitano, M; Wilhelm, M; Bir, C",A prospective study of punch biomechanics and cognitive function for amateur boxers,British Journal Of Sports Medicine,NA,10.1136/bjsm.2008.052845,ImPACT,NA,NA
308,2008,"Tsushima, William T; Oshiro, Ross; Zimbra, Daniel",Neuropsychological test performance of Hawai'i high school athletes: Hawai'i ImPACT normative data,Hawaii Medical Journal,NA,10.1016/j.jns.2013.08.015,ImPACT,NA,NA
314,2009,"Nance, Michael L; Polk-Williams, Alison; Collins, Michael W; Wiebe, Douglas J",Neurocognitive evaluation of mild traumatic brain injury in the hospitalized pediatric population,Annals Of Surgery,"Nance, Polk-Williams, Collins, & Wiebe, 2009",10.1097/SLA.0b013e3181a41ae5,ImPACT,NA,NA
317,2009,"Peterson, Shane E; Stull, Matthew J; Collins, Michael W; Wang, Henry E",Neurocognitive function of emergency department patients with mild traumatic brain injury,Annals Of Emergency Medicine,NA,10.1016/j.annemergmed.2008.10.015,ImPACT,NA,NA
319,2009,"Shuttleworth-Edwards, Ann B; Whitefield-Alexander, Victoria J; Radloff, Sarah E; Taylor, Alex M; Lovell, Mark R",Computerized neuropsychological profiles of South African versus US athletes: a basis for commentary on cross-cultural norming issues in the sports concussion arena,The Physician And Sportsmedicine,"Shuttleworth-Edwards, Whitefield-Alexander, Radloff, Taylor, & Lovell, 2009",10.3810/psm.2009.12.1741,ImPACT,NA,NA
326,2010,"Schatz, Philip",Long-term test-retest reliability of baseline cognitive assessments using ImPACT,The American Journal Of Sports Medicine,NA,10.1177/0363546509343805,ImPACT,NA,NA
327,2010,"Schatz, Philip; Neidzwski, Katherine; Moser, Rosemarie Scolaro; Karpf, Robin",Relationship between subjective test feedback provided by high-school athletes during computer-based assessment of baseline cognitive functioning and self-reported symptoms,Archives of Clinical Neuropsychology,NA,10.1093/arclin/acq022,ImPACT,NA,NA
337,2011,"Moser, Rosemarie Scolaro; Schatz, Philip; Neidzwski, Katherine; Ott, Summer D.",Group versus individual administration affects baseline neurocognitive test performance,American Journal of Sports Medicine,NA,10.1177/0363546511417114,ImPACT,NA,NA
339,2011,"Ponsford, Jennie; Cameron, Peter; Fitzgerald, Mark; Grant, Michele; Mikocka-Walus, Antonina",Long-term outcomes after uncomplicated mild traumatic brain injury: A comparison with trauma controls,Journal of Neurotrauma,"Ponsford, Cameron, Fitzgerald, Grant, & Mikocka-Walus, 2011",10.1089/neu.2010.1516,ImPACT,NA,NA
342,2011,"Thomas, Danny G; Collins, Michael W; Saladino, Richard A; Frank, Virginia; Raab, Jenny; Zuckerbraun, Noel S",Identifying neurocognitive deficits in adolescents following concussion,Academic Emergency Medicine: Official Journal Of The Society For Academic Emergency Medicine,NA,10.1111/j.1553-2712.2011.01015.x,ImPACT,NA,NA
346,2012,"McAllister, T. W.; Flashman, L. A.; Maerlender, A.; Greenwald, R. M.; Beckwith, J. G.; Tosteson, T. D.; Crisco, J. J.; Brolinson, P. G.; Duma, S. M.; Duhaime, A.-C.; Grove, M. R.; Turco, J. H.",Cognitive effects of one season of head impacts in a cohort of collegiate contact sport athletes,Neurology,NA,10.1212/WNL.0b013e3182582fe7,ImPACT,NA,NA
348,2012,"Moser, Rosemarie Scolaro; Glatts, Colette; Schatz, Philip",Efficacy of immediate and delayed cognitive and physical rest for treatment of sports-related concussion,The Journal of Pediatrics,NA,10.1016/j.jpeds.2012.04.012,ImPACT,NA,NA
349,2012,"Mulligan, Ivan; Boland, Mark; Payette, Justin",Prevalence of neurocognitive and balance deficits in collegiate aged football players without clinically diagnosed concussion,The Journal Of Orthopaedic And Sports Physical Therapy,NA,10.2519/jospt.2012.3798,ImPACT,NA,NA
353,2012,"Pontifex, Matthew B.; Brogiio, Steven P.; Drollette, Eric S.; Scudder, Mark R.; Johnson, Chris R.; O'Connor, Phillip M.; Hillman, Charles H.",The relation of mild traumatic brain injury to chronic lapses of attention,Research Quarterly For Exercise And Sport,NA,10.5641/027013612804582605,ImPACT,NA,NA
354,2012,"Rabinowitz, Amanda R.; Arnett, Peter A.",Reading based IQ estimates and actual premorbid cognitive performance: Discrepancies in a college athlete sample,Journal of the International Neuropsychological Society,"Rabinowitz & Arnett, 2012",10.1017/S1355617711001275,ImPACT,NA,NA
355,2012,"Register-Mihalik, Johna K.; Kontos, Daniel L.; Guskiewicz, Kevin M.; Mihalik, Jason P.; Conder, Robert; Shields, Edgar W.",Age-related differences and reliability on computerized and paper-and-pencil neurocognitive assessment batteries,Journal of Athletic Training,NA,10.4085/1062-6050-47.3.13,ImPACT,NA,NA
363,2012,"Wiebe, Douglas J; Collins, Michael W; Nance, Michael L",Identification and validation of prognostic criteria for persistence of mild traumatic brain injury-related impairment in the pediatric patient,Pediatric Emergency Care,NA,10.1097/PEC.0b013e3182586f76,ImPACT,NA,NA
365,2012,"Zuckerman, Scott L.; Lee, Young M.; Odom, Mitchell J.; Solomon, Gary S.; Forbes, Jonathan A.; Sills, Allen K.",Recovery from sports-related concussion: Days to return to neurocognitive baseline in adolescents versus young adults,Surgical Neurology International,"Zuckerman, Lee, et al., 2012",10.4103/2152-7806.102945,ImPACT,NA,NA
366,2012,"Zuckerman, Scott L; Solomon, Gary S; Forbes, Jonathan A; Haase, Richard F; Sills, Allen K; Lovell, Mark R",Response to acute concussive injury in soccer players: is gender a modifying factor?,Journal Of Neurosurgery. Pediatrics,"Zuckerman, Solomon, et al., 2012",10.3171/2012.8.PEDS12139,ImPACT,NA,NA
370,2013,"McGrath, Neal; Dinn, Wayne M.; Collins, Michael W.; Lovell, Mark R.; Elbin, R. J.; Kontos, Anthony P.",Post-exertion neurocognitive test failure among student-athletes following concussion,Brain Injury,NA,10.3109/02699052.2012.729282,ImPACT,NA,NA
378,2013,"Reddy, Cara Camiolo; Collins, Michael; Lovell, Mark; Kontos, Anthony P.",Efficacy of amantadine treatment on symptoms and neurocognitive performance among adolescents following sports-related concussion,The Journal of Head Trauma Rehabilitation,NA,10.1097/HTR.0b013e318257fbc6,ImPACT,NA,NA
379,2013,"Resch, Jacob E.; Brown, Cathleen N.; Baumgartner, Ted A.; Macciocchi, Stephen N.; Walpert, Kimberly P.; Ferrara, Michael S.",Influence of Mood State on the ImPACT,Athletic Training & Sports Health Care: The Journal for the Practicing Clinician,"Resch, Brown, et al., 2013",10.3928/19425864-20131030-01,ImPACT,NA,NA
380,2013,"Resch, Jacob E.; Macciocchi, Stephen; Ferrara, Michael S.",Preliminary evidence of equivalence of alternate forms of the ImPACT,The Clinical Neuropsychologist,"Resch, Macciocchi, & Ferrara, 2013",10.1080/13854046.2013.845247,ImPACT,NA,NA
381,2013,"Resch, Jacob; Driscoll, Aoife; McCaffrey, Noel; Brown, Cathleen; Ferrara, Michael S.; Macciocchi, Stephen; Baumgartner, Ted; Walpert, Kimberly",ImPact test-retest reliability: Reliably unreliable?,Journal of Athletic Training,"Resch, Driscoll, et al., 2013",10.4085/1062-6050-48.3.09,ImPACT,NA,NA
382,2013,"Rieger, Brian P.; Lewandowski, Lawrence J.; Callahan, James M.; Spenceley, Laura; Truckenmiller, Adrea; Gathje, Rebecca; Miller, Laura A.",A prospective study of symptoms and neurocognitive outcomes in youth with concussion vs orthopaedic injuries,Brain Injury,"Rieger et al., 2013",10.3109/02699052.2012.729290,ImPACT,NA,NA
384,2013,"Schatz, Philip; Glatts, Colette","""Sandbagging"" baseline test performance on ImPACT, without detection, is more difficult than it appears",Archives of Clinical Neuropsychology,NA,10.1093/arclin/act009,ImPACT,NA,NA
