record_id,pub_year,pub_author,pub_title,pub_journal,pub_apa,pub_doi,cognitive_test_1,cognitive_test_2,cognitive_test_3
392,2013,"Tjarks, B. Joel; Dorman, Jason C.; Valentine, Verle D.; Munce, Thayne A.; Thompson, Paul A.; Kindt, Shanna L.; Bergeron, Michael F.",Comparison and utility of King-Devick and ImPACT® composite scores in adolescent concussion patients,Journal of the Neurological Sciences,NA,10.1016/j.jns.2013.08.015,ImPACT,NA,NA
395,2013,"Tsushima, William T.; Shirakawa, Nicole; Geling, Olga",Neurocognitive functioning and symptom reporting of high school athletes following a single concussion,Applied Neuropsychology: Child,"Tsushima, Shirakawa, & Geling, 2013",10.1080/09084282.2011.643967,ImPACT,NA,NA
399,2013,"Zuckerman, Scott L; Lee, Young M; Odom, Mitchell J; Solomon, Gary S; Sills, Allen K",Baseline neurocognitive scores in athletes with attention deficit-spectrum disorders and/or learning disability,Journal Of Neurosurgery. Pediatrics,"Zuckerman, Lee, Odom, Solomon, & Sills, 2013",10.3171/2013.5.PEDS12524,ImPACT,NA,NA
402,2014,"McClure, D. Jake; Zuckerman, Scott L.; Kutscher, Scott J.; Gregory, Andrew J.; Solomon, Gary S.",Baseline neurocognitive testing in sports-related concussions: the importance of a prior night's sleep,American Journal of Sports Medicine,NA,10.1177/0363546513510389,ImPACT,NA,NA
408,2014,"Munce, Thayne A.; Dorman, Jason C.; Odney, Tryg O.; Thompson, Paul A.; Valentine, Verle D.; Bergeron, Michael F.",Effects of youth football on selected clinical measures of neurologic function: A pilot study,Journal of Child Neurology,NA,10.1177/0883073813509887,ImPACT,NA,NA
410,2014,"Nakayama, Yusuke; Covassin, Tracey; Schatz, Philip; Nogle, Sally; Kovan, Jeff",Examination of the Test-Retest Reliability of a Computerized Neurocognitive Test Battery,The American Journal Of Sports Medicine,"Nakayama, Covassin, Schatz, Nogle, & Kovan, 2014",10.1177/0363546514535901,ImPACT,NA,NA
416,2014,"Ott, Summer; Schatz, Philip; Solomon, Gary; Ryan, Joseph J.",Neurocognitive performance and symptom profiles of Spanish-speaking Hispanic athletes on the ImPACT Test,Archives of Clinical Neuropsychology,"Ott, Schatz, Solomon, & Ryan, 2014",10.1093/arclin/act091,ImPACT,NA,NA
418,2014,"Pedersen, Heather A.; Ferraro, F. Richard; Himle, Michael; Schultz, Caitlin; Poolman, Mark",Neuropsychological factors related to college ice hockey concussions,American Journal of Alzheimer's Disease and Other Dementias,NA,10.1177/1533317513517036,ImPACT,NA,NA
419,2014,"Phillipou, Andrea; Douglas, Jacinta; Krieser, David; Ayton, Lauren; Abel, Larry",Changes in saccadic eye movement and memory function after mild closed head injury in children,Developmental Medicine And Child Neurology,"Phillipou, Douglas, Krieser, Ayton, & Abel, 2014",10.1111/dmcn.12345,ImPACT,NA,NA
421,2014,"Plancher, Kevin D; Brooks-James, Ariana; Nissen, Carl W; Diduch, B Kent; Petterson, Stephanie C",Baseline Neurocognitive Performance in Professional Lacrosse Athletes,Orthopaedic Journal Of Sports Medicine,NA,10.1177/2325967114550623,ImPACT,NA,NA
426,2014,"Sasaki, Takeshi; Pasternak, Ofer; Mayinger, Michael; Muehlmann, Marc; Savadjiev, Peter; Bouix, Sylvain; Kubicki, Marek; Fredman, Eli; Dahlben, Brian; Helmer, Karl G; Johnson, Andrew M; Holmes, Jeffrey D; Forwell, Lorie A; Skopelja, Elaine N; Shenton, Martha E; Echlin, Paul S; Koerte, Inga K","Hockey Concussion Education Project, Part 3. White matter microstructure in ice hockey players with a history of concussion: a diffusion tensor imaging study",Journal Of Neurosurgery,NA,10.3171/2013.12.JNS132092,ImPACT,SCAT2,NA
427,2014,"Schatz, Philip; Robertshaw, Stacey",Comparing post-concussive neurocognitive test data to normative data presents risks for under-classifying 'above average' athletes,Archives of Clinical Neuropsychology,NA,10.1093/arclin/acu041,ImPACT,NA,NA
429,2014,"Singh, Rashmi; Meier, Timothy B.; Kuplicki, Rayus; Savitz, Jonathan; Mukai, Ikuko; Cavanagh, LaMont; Allen, Thomas; Teague, T. Kent; Nerio, Christopher; Polanski, David; Bellgowan, Patrick S. F.",Relationship of collegiate football experience and concussion with hippocampal volume and cognitive outcomes,JAMA: Journal of the American Medical Association,NA,10.1001/jama.2014.3313,ImPACT,NA,NA
432,2014,"Solomon, Gary S.; Kuhn, Andrew",Relationship between concussion history and neurocognitive test performance in National Football League draft picks,American Journal of Sports Medicine,NA,10.1177/0363546513518742,ImPACT,NA,NA
435,2014,"Talavage, Thomas M.; Nauman, Eric A.; Breedlove, Evan L.; Yoruk, Umit; Dye, Anne E.; Morigaki, Katherine E.; Feuer, Henry; Leverenz, Larry J.",Functionally-detected cognitive impairment in high school football players without clinically-diagnosed concussion,Journal of Neurotrauma,NA,10.1089/neu.2010.1512,ImPACT,NA,NA
438,2014,"Teel, E. F.; Ray, W. J.; Geronimo, A. M.; Slobounov, S. M.",Residual alterations of brain electrical activity in clinically asymptomatic concussed individuals: An EEG study,Clinical Neurophysiology,NA,10.1016/j.clinph.2013.08.027,ImPACT,NA,NA
440,2014,"Tsushima, William T; Siu, Andrea M",Neuropsychological test performance of Hawai'i high school athletes: updated Hawai'i immediate post-concussion assessment and cognitive testing data,Hawai'i Journal Of Medicine & Public Health: A Journal Of Asia Pacific Medicine & Public Health,"Tsushima & Siu, 2014",NA,ImPACT,NA,NA
441,2014,"Vaughan, Christopher G.; Gerst, Elyssa H.; Sady, Maegan D.; Newman, Julie B.; Gioia, Gerard A.",The Relation Between Testing Environment and Baseline Performance in Child and Adolescent Concussion Assessment,The American Journal Of Sports Medicine,NA,10.1177/0363546514531732,ImPACT,NA,NA
442,2014,"Volberding, Jennifer L.; Melvin, Dustin",Changes in ImPACT and Graded Symptom Checklist Scores During a Division I Football Season,Athletic Training & Sports Health Care: The Journal for the Practicing Clinician,NA,10.3928/19425864-20140710-02,ImPACT,NA,NA
446,2014,"Yaeger, Karl; Alhilali, Lea; Fakhran, Saeed",Evaluation of tentorial length and angle in sleep-wake disturbances after mild traumatic brain injury,AJR. American Journal Of Roentgenology,NA,10.2214/AJR.13.11091,ImPACT,NA,NA
448,2015,"Mautner, Kenneth; Sussman, Walter I.; Axtman, Matthew; Al-Farsi, Yahya; Al-Adawi, Samir",Relationship of Attention Deficit Hyperactivity Disorder and Postconcussion Recovery in Youth Athletes,Clinical Journal of Sport Medicine,NA,10.1097/jsm.0000000000000151,ImPACT,NA,NA
451,2015,"Meyer, Jessica E.; Arnett, Peter A.",Validation of the Affective Word List as a measure of verbal learning and memory,Journal of Clinical and Experimental Neuropsychology,"Meyer & Arnett, 2015b",10.1080/13803395.2015.1012486,ImPACT,NA,NA
453,2015,"Moser, Rosemarie Scolaro; Schatz, Philip; Glenn, Megan; Kollias, Kelly E.; Iverson, Grant L.",Examining prescribed rest as treatment for adolescents who are slow to recover from concussion,Brain Injury,NA,10.3109/02699052.2014.964771,ImPACT,NA,NA
459,2015,"Pearce, Kelly L.; Sufrinko, Alicia; Lau, Brian C.; Henry, Luke; Collins, Michael W.; Kontos, Anthony P.",Near Point of Convergence After a Sport-Related Concussion: Measurement Reliability and Relationship to Neurocognitive Impairment and Symptoms,American Journal of Sports Medicine,NA,10.1177/0363546515606430,ImPACT,NA,NA
460,2015,"Powers, Michael E.",Acute stimulant ingestion and neurocognitive performance in healthy participants,Journal Of Athletic Training,NA,10.4085/1062-6050-50.1.07,ImPACT,NA,NA
462,2015,"Rabinowitz, Amanda R.; Merritt, Victoria C.; Arnett, Peter A.",The return-to-play incentive and the effect of motivation on neuropsychological test-performance: Implications for baseline concussion testing,Developmental Neuropsychology,"Rabinowitz, Merritt, & Arnett, 2015",10.1080/87565641.2014.1001066,ImPACT,NA,NA
463,2015,"Resch, Jacob E.; Brown, Cathleen N.; Macciocchi, Stephen N.; Cullum, C. Munro; Blueitt, Damond; Ferrara, Michael S.",A Preliminary Formula to Predict Timing of Symptom Resolution for Collegiate Athletes Diagnosed With Sport Concussion,Journal Of Athletic Training,"Resch et al., 2015",10.4085/1062-6050-50.12.03,ImPACT,NA,NA
470,2015,"Sufrinko, Alicia; Johnson, Eric W.; Henry, Luke C.",The Influence of Sleep Duration and Sleep-Related Symptoms on Baseline Neurocognitive Performance Among Male and Female High School Athletes,Neuropsychology,NA,10.1037/neu0000250,ImPACT,NA,NA
471,2015,"Sufrinko, Alicia; Pearce, Kelly; Johnson, Eric; Collins, Michael; Elbin, R.j.; Covassin, Tracey; Kontos, Anthony P.",The effect of preinjury sleep difficulties on neurocognitive impairment and symptoms after sport-related concussion,American Journal of Sports Medicine,NA,10.1177/0363546514566193,ImPACT,NA,NA
473,2015,"Thoma, Robert J.; Cook, Julia A.; McGrew, Christopher; King, John H.; Mayer, Andrew R.; Lewine, Jeffrey D.; Yeo, Ronald A.; Campbell, Richard",The effect of days since last concussion and number of concussions on cognitive functioning in Division I athletes,Brain Injury,NA,10.3109/02699052.2014.999352,ImPACT,NA,NA
475,2015,"Vassilyadi, Michael; Macartney, Gail; Barrowman, Nick; Anderson, Peter; Dube, Karen",Symptom Experience and Quality of Life in Children after Sport-Related Head Injuries: A Cross-Sectional Study,Pediatric Neurosurgery,"Vassilyadi, Macartney, Barrowman, Anderson, & Dube, 2015",10.1159/000431232,ImPACT,NA,NA
477,2015,"Wylie, Glenn R.; Freeman, Kalev; Thomas, Alex; Shpaner, Marina; OKeefe, Michael; Watts, Richard; Naylor, Magdalena R.",Cognitive Improvement after Mild Traumatic Brain Injury Measured with Functional Neuroimaging during the Acute Period,PLoS ONE,NA,10.1371/journal.pone.0126110,ImPACT,NA,NA
478,2015,"Yengo-Kahn, Aaron Michael; Solomon, Gary",Are psychotropic medications associated with differences in baseline neurocognitive assessment scores for young athletes? A pilot study,The Physician And Sportsmedicine,"Yengo-Kahn & Solomon, 2015",10.1080/00913847.2015.1071638,ImPACT,NA,NA
482,2016,"Nelson, Lindsay D.; LaRoche, Ashley A.; Pfaller, Adam Y.; Lerner, E. Brooke; Hammeke, Thomas A.; Randolph, Christopher; Barr, William B.; Guskiewicz, Kevin; McCrea, Michael A.","Prospective, head-to-head study of three computerized neurocognitive assessment tools (CNTs): Reliability and validity for the assessment of sport-related concussion",Journal of the International Neuropsychological Society,"Nelson et al., 2016",10.1017/S1355617715001101,ANAM,CogSport Axon,ImPACT
483,2016,"Reesman, Jennifer; Pineda, Jill; Carver, Jenny; Brice, Patrick J; Zabel, T Andrew; Schatz, Philip",Utility of the ImPACT test with deaf adolescents,The Clinical Neuropsychologist,NA,10.1080/13854046.2016.1142613,ImPACT,NA,NA
484,2016,"Teel, Elizabeth; Gay, Michael; Johnson, Brian; Slobounov, Semyon",Determining Sensitivity/Specificity of Virtual Reality-Based Neuropsychological Tool for Detecting Residual Abnormalities Following Sport-Related Concussion,Neuropsychology,"Teel, Gay, Johnson, & Slobounov, 2016",10.1037/neu0000261,ImPACT,NA,NA
485,2016,"Tsushima, William T.; Geling, Olga; Arnold, Monica",Effects of two concussions on the neuropsychological functioning and symptom reporting of high school athletes,Applied Neuropsychology: Child,"Tsushima, Geling, & Arnold, 2016",10.1080/21622965.2014.902762,ImPACT,NA,NA
489,2014,"Breedlove, Katherine Morigaki; Breedlove, Evan L.; Robinson, Meghan; Poole, Victoria N.; King III, Jeffrey R.; Rosenberger, Paul; Rasmussen, Matthew; Talavage, Thomas M.; Leverenz, Larry J.; Nauman, Eric A.",Detecting Neurocognitive and Neurophysiological Changes as a Result of Subconcussive Blows Among High School Football Athletes,Athletic Training & Sports Health Care: The Journal for the Practicing Clinician,NA,10.3928/19425864-20140507-02,ImPACT,NA,NA
507,2006,"Schatz, Philip; Putz, Brendan O.",Cross-Validation of Measures Used for Computer-Based Assessment of Concussion,Applied Neuropsychology,NA,10.1207/s15324826an1303_2,ImPACT,CogSport,NA
515,2008,"Majerske, Cynthia W.; Mihalik, Jason P.; Ren, Dianxu; Collins, Michael W.; Reddy, Cara Camiolo; Lovell, Mark R.; Wagner, Amy K.","Concussion in sports: Postconcussive activity levels, symptoms, and neurocognitive performance",Journal of Athletic Training,NA,10.4085/1062-6050-43.3.265,ImPACT,NA,NA
517,2009,"Pontifex, Matthew B.; O'Connor, Phillip M.; Broglio, Steven P.; Hillman, Charles H.",The association between mild traumatic brain injury history and cognitive control,Neuropsychologia,NA,10.1016/j.neuropsychologia.2009.07.021,ImPACT,NA,NA
521,2010,"Maerlender, A.; Flashman, L.; Kessler, A.; Kumbhani, S.; Greenwald, R.; Tosteson, T.; McAllister, T.","Examination of the construct validity of ImPACTï¿½ computerized test, traditional, and experimental neuropsychological measures",The Clinical Neuropsychologist,NA,10.1080/13854046.2010.516072,ImPACT,NA,NA
522,2010,"Iverson, Grant L.",Mild traumatic brain injury meta-analyses can obscure individual differences,Brain Injury,NA,10.3109/02699052.2010.490513,ImPACT,NA,NA
526,2010,"Echlin, Paul Sean; Tator, Charles H; Cusimano, Michael D; Cantu, Robert C; Taunton, Jack E; Upshur, Ross E G; Czarnota, Michael; Hall, Craig R; Johnson, Andrew M; Forwell, Lorie A; Driediger, Molly; Skopelja, Elaine N",Return to play after an initial or recurrent concussion in a prospective study of physician-observed junior ice hockey concussions: implications for return to play after a concussion,Neurosurgical Focus,NA,10.3171/2010.9.FOCUS10210,ImPACT,SCAT2,NA
535,2011,"Barlow, Michael; Schlabach, Drew; Peiffer, Jeffery; Cook, Chad",Differences in change scores and the predictive validity of three commonly used measures following concussion in the middle school and high school aged population,International Journal Of Sports Physical Therapy,NA,NA,ImPACT,NA,NA
536,2012,"Schatz, Philip; Moser, Rosemarie Scolaro; Solomon, Gary S.; Ott, Summer D.; Karpf, Robin",Prevalence of invalid computerized baseline neurocognitive test results in high school and collegiate athletes,Journal of Athletic Training,"Schatz, Moser, Solomon, Ott, & Karpf, 2012",10.4085/1062-6050-47.3.14,ImPACT,NA,NA
538,2012,"Lau, Brian C; Collins, Michael W; Lovell, Mark R",Cutoff scores in neurocognitive testing and symptom clusters that predict protracted recovery from concussions in high school athletes,Neurosurgery,NA,10.1227/NEU.0b013e31823150f0,ImPACT,NA,NA
539,2012,"Kontos, Anthony P.; Covassin, Tracey; Elbin, R.j.; Parker, Tonya",Depression and neurocognitive performance after concussion among male and female high school and collegiate athletes,Archives of Physical Medicine & Rehabilitation,NA,10.1016/j.apmr.2012.03.032,ImPACT,NA,NA
540,2012,"Barwick, Fiona; Arnett, Peter; Slobounov, Semyon",EEG correlates of fatigue during administration of a neuropsychological test battery,Clinical Neurophysiology,"Barwick, Arnett, & Slobounov, 2012",10.1016/j.clinph.2011.06.027,ImPACT,NA,NA
542,2012,"Breedlove, Evan L.; Robinson, Meghan; Talavage, Thomas M.; Morigaki, Katherine E.; Yoruk, Umit; O'Keefe, Kyle; King, Jeff; Leverenz, Larry J.; Gilger, Jeffrey W.; Nauman, Eric A.",Biomechanical correlates of symptomatic and asymptomatic neurophysiological impairment in high school football,Journal of Biomechanics,NA,10.1016/j.jbiomech.2012.01.034,ImPACT,NA,NA
544,2012,"Ponsford, Jennie; Cameron, Peter; Fitzgerald, Mark; Grant, Michele; Mikocka-Walus, Antonina; Schï¿½nberger, Michael",Predictors of postconcussive symptoms 3 months after mild traumatic brain injury,Neuropsychology,"Ponsford et al., 2012",10.1037/a0027888,ImPACT,NA,NA
550,2012,"Meehan, William P. III; dï¿½Hemecourt, Pierre; Collins, Christy L.; Taylor, Alex M.; Comstock, R. Dawn",Computerized neurocognitive testing for the management of sport-related concussions,Pediatrics,NA,10.1542/peds.2011-1972,ImPACT,NA,NA
552,2013,"Szabo, Ashley J.; Alosco, Michael L.; Fedor, Andrew; Gunstad, John",Invalid performance and the ImPACT in National Collegiate Athletic Association Division I football players,Journal of Athletic Training,NA,10.4085/1062-6050-48.6.20,ImPACT,NA,NA
557,2013,"Sandel, Natalie K.; Lovell, Mark R.; Kegel, Nathan E.; Collins, Michael W.; Kontos, Anthony P.",The relationship of symptoms and neurocognitive performance to perceived recovery from sports-related concussion among adolescent athletes,Applied Neuropsychology: Child,NA,10.1080/21622965.2012.670580,ImPACT,NA,NA
561,2013,"Schatz, Philip; Maerlender, Arthur",A two-factor theory for concussion assessment using ImPACT: Memory and speed,Archives of Clinical Neuropsychology,"Schatz & Maerlender, 2013",10.1093/arclin/act077,ImPACT,NA,NA
562,2013,"Schatz, Philip; Sandel, Natalie",Sensitivity and specificity of the online version of ImPACT in high school and collegiate athletes,The American Journal Of Sports Medicine,"Schatz & Sandel, 2013",10.1177/0363546512466038,ImPACT,NA,NA
567,2013,"Rabinowitz, Amanda R.; Arnett, Peter A.",Intraindividual cognitive variability before and after sports-related concussion,Neuropsychology,"Rabinowitz & Arnett, 2013",10.1037/a0033023,ImPACT,NA,NA
568,2013,"Fedor, Andrew; Gunstad, John",Higher BMI is associated with reduced cognitive performance in division I athletes,Obesity Facts,NA,10.1159/000351138,ImPACT,NA,NA
573,2014,"McKay, Carly D.; Brooks, Brian L.; Mrazik, Martin; Jubinville, Andrea L.; Emery, Carolyn A.",Psychometric properties and reference values for the ImPACT Neurocognitive Test Battery in a sample of elite youth ice hockey players,Archives of Clinical Neuropsychology,NA,10.1093/arclin/act116,ImPACT,NA,NA
576,2014,"Merritt, Victoria C.; Arnett, Peter A.",Premorbid predictors of postconcussion symptoms in collegiate athletes,Journal of Clinical and Experimental Neuropsychology,"Merritt & Arnett, 2014",10.1080/13803395.2014.983463,ImPACT,NA,NA
577,2014,"Lichtenstein, Jonathan D.; Moser, Rosemarie Scolaro; Schatz, Philip",Age and test setting affect the prevalence of invalid baseline scores on neurocognitive tests,American Journal of Sports Medicine,NA,10.1177/0363546513509225,ImPACT,NA,NA
579,2014,"Mckay, Carly D.; Schneider, Kathryn J.; Brooks, Brian L.; Mrazik, Martin; Emery, Carolyn A.",Baseline Evaluation in Youth Ice Hockey Players: Comparing Methods for Documenting Prior Concussions and Attention or Learning Disorders,Journal of Orthopaedic & Sports Physical Therapy,NA,10.2519/jospt.2014.5053,ImPACT,NA,NA
580,2014,"Wilson, Matthew J.; Harkrider, Ashley W.; King, Kristin A.",The effects of visual distracter complexity on auditory evoked P3b in contact sports athletes,Developmental Neuropsychology,"Wilson, Harkrider, & King, 2014",10.1080/87565641.2013.870177,ImPACT,NA,NA
581,2014,"Casson, Ira R; Viano, David C; Haacke, E Mark; Kou, Zhifeng; LeStrange, Danielle G","Is There Chronic Brain Damage in Retired NFL Players? Neuroradiology, Neuropsychology, and Neurology Examinations of 45 Retired Players",Sports Health,NA,10.1177/1941738114540270,ImPACT,NA,NA
582,2014,"Darling, Scott R.; Leddy, John J.; Baker, John G.; Williams, Amy J.; Surace, Anthony; Miecznikowski, Jeffrey C.; Willer, Barry",Evaluation of the Zurich Guidelines and exercise testing for return to play in adolescents following concussion,Clinical Journal of Sport Medicine,NA,10.1097/jsm.0000000000000026,ImPACT,ANAM,SCAT2
590,2015,"Wolf, E George; Baugh, Laura M; Kabban, Christine M Schubert; Richards, Michael F; Prye, Jennifer",Cognitive function in a traumatic brain injury hyperbaric oxygen randomized trial,"Undersea & Hyperbaric Medicine: Journal Of The Undersea And Hyperbaric Medical Society, Inc",NA,NA,ImPACT,NA,NA
591,2015,"Vernau, Brian T.; Grady, Matthew F.; Goodman, Arlene; Wiebe, Douglas J.; Basta, Luke; Park, Yong; Arbogast, Kristy B.; Master, Christina L.",Oculomotor and neurocognitive assessment of youth ice hockey players: Baseline associations and observations after concussion,Developmental Neuropsychology,NA,10.1080/87565641.2014.971955,ImPACT,SCAT3,NA
601,2015,"Zhu, David C.; Covassin, Tracey; Nogle, Sally; Doyle, Scarlett; Russell, Doozie; Pearson, Randolph L.; Monroe, Jeffrey; Liszewski, Christine M.; DeMarco, J. Kevin; Kaufman, David I.",A potential biomarker in sports-related concussion: Brain functional connectivity alteration of the default-mode network measured with longitudinal resting-state fMRI over thirty days,Journal of Neurotrauma,NA,10.1089/neu.2014.3413,ImPACT,NA,NA
605,2015,"Sandel, Natalie; Henry, Luke C.; French, Jonathan; Lovell, Mark R.",Parent perceptions of their adolescent athlete's concussion: A preliminary retrospective study,Applied Neuropsychology: Child,NA,10.1080/21622965.2013.850692,ImPACT,NA,NA
608,2015,"Russo, C. R.; Lathan, C. E.",An evaluation of the consistency and reliability of the Defense Automated Neurocognitive Assessment tool,Applied Psychological Measurement,NA,10.1177/0146621615577361,ANAM4,ImPACT,NA
609,2015,"Nelson, Lindsay D.; Pfaller, Adam Y.; Rein, Lisa E.; McCrea, Michael A.",Rates and Predictors of Invalid Baseline Test Performance in High School and Collegiate Athletes for 3 Computerized Neurocognitive Tests,American Journal of Sports Medicine,"Nelson, Pfaller, Rein, & McCrea, 2015",10.1177/0363546515587714,ANAM,CogSport Axon,ImPACT
914,2016,"Nance, Michael L.; Callahan, James M.; Tharakan, Sasha J.; Malamet, Peter; Houseknecht, Eileen M.; Mahoney, Kaitilin R.; Wiebe, Douglas J.",Utility of neurocognitive testing of mild traumatic brain injury in children treated and released from the emergency department,Brain Injury,NA,10.3109/02699052.2015.1075591,ImPACT,NA,NA
948,2015,"Alhilali, Lea M; Delic, Joseph A; Gumus, Serter; Fakhran, Saeed",Evaluation of White Matter Injury Patterns Underlying Neuropsychiatric Symptoms after Mild Traumatic Brain Injury,Radiology,"Alhilali, Delic, Gumus, & Fakhran, 2015",10.1148/radiol.2015142974,ImPACT,NA,NA
954,2016,"Ghodadra, A; Alhilali, L; Fakhran, S",Principal Component Analysis of Diffusion Tensor Images to Determine White Matter Injury Patterns Underlying Postconcussive Headache,AJNR. American Journal Of Neuroradiology,"Ghodadra, Alhilali, & Fakhran, 2016",10.3174/ajnr.A4505,ImPACT,NA,NA
958,2015,"Buckley, Thomas A; Munkasy, Barry A; Clouse, Brandy P",Acute Cognitive and Physical Rest May Not Improve Concussion Recovery Time,The Journal Of Head Trauma Rehabilitation,NA,10.1097/htr.0000000000000165,ImPACT,SAC,NA
959,2016,"Black, Amanda M; Sergio, Lauren E; Macpherson, Alison K",The Epidemiology of Concussions: Number and Nature of Concussions and Time to Recovery Among Female and Male Canadian Varsity Athletes 2008 to 2011,Clinical Journal Of Sport Medicine: Official Journal Of The Canadian Academy Of Sport Medicine,NA,10.1097/jsm.0000000000000308,ImPACT,SCAT,SCAT2
960,2016,"Wang, Yang; Nelson, Lindsay D; LaRoche, Ashley A; Pfaller, Adam Y; Nencka, Andrew S; Koch, Kevin M; McCrea, Michael A",Cerebral Blood Flow Alterations in Acute Sport-Related Concussion,Journal Of Neurotrauma,"Wang et al., 2016",10.1089/neu.2015.4072,SAC,ANAM,ImPACT
962,2016,"Gill, Jessica; Merchant-Borna, Kian; Lee, Hyunhwa; Livingston, Whitney S; Olivera, Anlys; Cashion, Ann; Wang, Dan; Bazarian, Jeffrey J",Sports-Related Concussion Results in Differential Expression of Nuclear Factor-?B Pathway Genes in Peripheral Blood During the Acute and Subacute Periods,The Journal Of Head Trauma Rehabilitation,"Gill et al., 2016",10.1097/htr.0000000000000191,ImPACT,NA,NA
965,2016,"Silverberg, Noah D; Berkner, Paul D; Atkins, Joseph E; Zafonte, Ross; Iverson, Grant L",Relationship Between Short Sleep Duration and Preseason Concussion Testing,Clinical Journal Of Sport Medicine: Official Journal Of The Canadian Academy Of Sport Medicine,"Silverberg, Berkner, Atkins, Zafonte, & Iverson, 2016",10.1097/jsm.0000000000000241,ImPACT,NA,NA
970,2015,"Siedlik, J A; Siscos, S M; Evans, K; Rolf, A; Gallagher, P M; Seeley, J; Vardiman, J P",Computerized neurocognitive assessments and detection of the malingering athlete,The Journal Of Sports Medicine And Physical Fitness,NA,NA,ImPACT,NA,NA
1060,2014,"Covassin, Tracey; Crutcher, Bryan; Belanger, Samantha",Preinjury History of Migraine Headache: Effects on Neurocognitive Performance and Symptoms in Athletes With Concussion,Athletic Training & Sports Health Care: The Journal for the Practicing Clinician,NA,10.3928/19425864-20140916-01,ImPACT,NA,NA
1068,2015,"Biederman, Joseph; Feinberg, Leah; Chan, James; Adeyemo, Bamidele O.; Woodworth, K. Yvonne; Panis, Walter; McGrath, Neal; Bhatnagar, Saurabha; Spencer, Thomas J.; Uchida, Mai; Kenworthy, Tara; Grossman, Rebecca; Zafonte, Ross; Faraone, Stephen V.",Mild traumatic brain injury and attention-deficit hyperactivity disorder in young student athletes,Journal of Nervous and Mental Disease,"Biederman et al., 2015",10.1097/NMD.0000000000000375,ImPACT,NA,NA
1071,2013,"Brooks, Brian L.; McKay, Carly D.; Mrazik, Martin; Barlow, Karen M.; Meeuwisse, Willem H.; Emery, Carolyn A.","Subjective, but not objective, lingering effects of multiple past concussions in adolescents",Journal of Neurotrauma,"Brooks et al., 2013",10.1089/neu.2012.2720,ImPACT,NA,NA
1124,2015,"Register-Mihalik, Johna K.; De Maio, Valerie J.; Tibbo-Valeriote, Holly L.; Wooten, John D.",Characteristics of Pediatric and Adolescent Concussion Clinic Patients With Postconcussion Amnesia,Clinical Journal of Sport Medicine,"Register-Mihalik, De Maio, Tibbo-Valeriote, & Wooten, 2015",10.1097/jsm.0000000000000161,ImPACT,NA,NA
1131,2016,"Tsushima, William T.; Siu, Andrea M.; Pearce, Annina M.; Guangxiang Zhang; Oshiro, Ross S.",Two-year Test-Retest Reliability of ImPACT in High School Athletes,Archives of Clinical Neuropsychology,"Tsushima, Siu, Pearce, Guangxiang Zhang, & Oshiro, 2016",10.1093/arclin/acv066,ImPACT,NA,NA
1134,2014,"Virji-Babul, Naznin; Hilderman, Courtney G. E.; Makan, Nadia; Liu, Aiping; Smith-Forrester, Jenna; Franks, Chris; Wang, Z. J.",Changes in functional brain networks following sports-related concussion in adolescents,Journal of Neurotrauma,NA,10.1089/neu.2014.3450,ImPACT,NA,NA
1148,2014,"Shuttleworth-Edwards, Ann B.; Radloff, Sarah E.; Whitefield-Alexander, Victoria J.; Smith, Ian P.; Horsman, Mark",Practice effects reveal visuomotor vulnerability in school and university rugby players,Archives of Clinical Neuropsychology,"Shuttleworth-Edwards, Radloff, Whitefield-Alexander, Smith, & Horsman, 2014",10.1093/arclin/act061,ImPACT,NA,NA
1166,2013,"Cole, Wesley R.; Arrieux, Jacques P.; Schwab, Karen; Ivins, Brian J.; Qashu, Felicia M.; Lewis, Steven C.",Test-retest reliability of four computerized neurocognitive assessment tools in an active duty military population,Archives of Clinical Neuropsychology,"Cole et al., 2013",10.1093/arclin/act040,ANAM4,ImPACT,NA
1195,2013,"Kontos, Anthony P.; Kotwal, Russ S.; Elbin, R. J.; Lutz, Robert H.; Forsten, Robert D.; Benson, Peter J.; Guskiewicz, Kevin M.",Residual effects of combat-related mild traumatic brain injury,Journal of Neurotrauma,NA,10.1089/neu.2012.2506,ImPACT,NA,NA
